epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.181942939758301,0.1,0.020512820512820513,0.1,183.56544733047485,1987.46875
2,2.1622628211975097,0.125,0.02777777777777778,0.125,169.04747080802917,1979.53515625
3,2.152699375152588,0.1,0.01818181818181818,0.1,163.46285939216614,1851.81640625
4,2.1511873960494996,0.15,0.03913043478260869,0.15,173.05167436599731,1880.6015625
5,2.1245447397232056,0.1,0.01818181818181818,0.1,174.5437889099121,1857.12890625
6,2.124450445175171,0.1,0.01818181818181818,0.1,183.7620394229889,1890.3828125
7,2.1142487049102785,0.125,0.02777777777777778,0.125,184.58750200271606,1862.21484375
8,2.1153380155563353,0.1,0.01818181818181818,0.1,183.5530276298523,1857.796875
9,2.1143067359924315,0.1,0.01818181818181818,0.1,190.18332481384277,1895.89453125
10,2.1117701292037965,0.1,0.01818181818181818,0.1,158.90900468826294,1911.81640625
11,2.111745595932007,0.1,0.01818181818181818,0.1,160.04876565933228,1904.98046875
12,2.1136294841766357,0.125,0.02777777777777778,0.125,159.54200434684753,1896.63671875
13,2.1113242626190187,0.125,0.02777777777777778,0.125,157.2660791873932,1899.58984375
14,2.10974702835083,0.075,0.010465116279069767,0.075,155.9604160785675,1906.609375
15,2.1068206310272215,0.125,0.02777777777777778,0.125,155.4226200580597,1884.9453125
16,2.107895016670227,0.125,0.02777777777777778,0.125,154.59039402008057,1909.69140625
17,2.0995011568069457,0.125,0.02777777777777778,0.125,155.57157039642334,1909.96484375
18,2.110252285003662,0.1,0.01818181818181818,0.1,154.9986662864685,1914.21875
19,2.1084321975708007,0.15,0.03913043478260869,0.15,156.53367018699646,1913.0546875
20,2.1161157369613646,0.1,0.01818181818181818,0.1,154.77122688293457,1913.5546875
