epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,10.477359104156495,0.15,0.03913043478260869,0.15,73.33501863479614,2571.4296875
2,1.9134023666381836,0.15,0.03913043478260869,0.15,62.08057427406311,2486.18359375
3,0.8775772839784622,0.125,0.036585365853658534,0.125,56.31439971923828,2459.4453125
4,0.4263147935271263,0.05,0.03653198653198653,0.05,58.86531400680542,2556.09375
5,0.28106410056352615,0.075,0.022058823529411766,0.075,53.56598448753357,2556.1328125
6,0.24192534685134887,0.225,0.16148883374689826,0.225,52.97198176383972,2556.07421875
7,0.22938031554222107,0.35,0.2578263841421736,0.35,57.67670702934265,2556.06640625
8,0.2126368649303913,0.55,0.4939102564102565,0.55,61.63899898529053,2555.76953125
9,0.20309686958789824,0.525,0.47141636141636145,0.525,59.28035235404968,2166.40625
10,0.1781000316143036,0.55,0.49710317460317455,0.55,56.86834192276001,2166.5078125
11,0.1627938210964203,0.675,0.6624125874125875,0.675,64.5782778263092,2165.9140625
12,0.14933798722922803,0.75,0.728234126984127,0.75,70.06344676017761,2166.44921875
13,0.14332839660346508,0.775,0.7730952380952381,0.775,60.12386202812195,2102.49609375
14,0.1268286347389221,0.8,0.7887590187590188,0.8,57.768171310424805,2102.1796875
15,0.11342943981289863,0.85,0.846984126984127,0.85,59.94365406036377,2102.46875
16,0.11112033389508724,0.825,0.8226984126984126,0.825,51.91019916534424,2102.66796875
17,0.0966338848695159,0.825,0.8195765345765347,0.825,61.150187492370605,2102.78515625
18,0.08293601106852293,0.825,0.8197222222222222,0.825,58.55681109428406,2102.84375
19,0.0846882851794362,0.85,0.8507570207570208,0.85,60.443323373794556,2102.54296875
20,0.07324661239981652,0.85,0.8507570207570208,0.85,51.33915328979492,2102.6328125
